1,Technical Analysis  by Rachana Ranade,technical-analysis-by-rachana-ranade,Rachana Ranade,author,Technical Analysis,8000,300,long desc,CoursesImages/rachana.jpg,https://www.rachanaranade.com/courses/Technical-Analysis-20-For-Windows-PCs-6273bfe20cf2f5458e7a7030,45035,45035,English,AuthorsImages/rachana_prof.jpg
2,Intraday Short Straddle by PR Sundar,intraday-short-straddle-by-pr-sundar,P R sundar,author,Option | Straddle,5999,350,long desc,CoursesImages/P_R_sundar_Short_Straddle.jpeg,https://workshop.prsundar.com/course/105/intraday-short-straddle-a-unique-setup-with-new-adjustments-with-recorded-qa,45035,45035,English,AuthorsImages/PR_sundar.jpeg
3,Bigbeautifulbuys course,bigbeautifulbuys-course,Rohan Ravat,author,Trading Skills,29000,500,long desc,CoursesImages/Bigbeautiful.png,https://bigbeautifulbuys.com/,45035,45035,English,AuthorsImages/Rohan_Ravat_Bigbeautiful.png
4,TRADING IN THE ZONE -TECHNICAL ANALYSIS  ( ! Month),trading-in-the-zone-technical-analysis-month,author,author,Technical Analysis ! Option,17700,550,long desc,CoursesImages/GTF.png,https://www.gettogetherfinance.com/Trading-In-The-Zone-Technical-Analysis,45035,45035,English,default_author.jpg
5,Madras Trader Option Buying Course,madras-trader-option-buying-course,Madras Trader,author,Option Buying,600,,long desc,default_course.jpg,,45035,45035,English,default_author.jpg
6,Basic To Advance Option Trading Course,basic-to-advance-option-trading-course,Saurabh Maurya,author,Option Buying,12250,500,long desc,CoursesImages/iitian.jpg,https://mmnud.courses.store/268614,45035,45035,English,AuthorsImages/saurabh_maurya.jpg
7,Stock Khajana Course,stock-khajana-course,author,author,Intraday,30000,500,long desc,CoursesImages/Intraday.webp,https://www.stockkhazaana.com/im,45035,45035,English,AuthorsImages/images.jpeg
8,GTF Option Course,gtf-option-course,author,author,Option,17700,,long desc,CoursesImages/gtf_option_course.jpg,https://www.gettogetherfinance.com/GTF-Options,45035,45035,English,default_author.jpg
9,Big Beautiful Buys Course 2022,big-beautiful-buys-course-2022,author,author,Technical Analysis,160000,999,long desc,CoursesImages/default.jpg,http://www.dummy.com,45036,45036,English,AuthorsImages/default.jpg
10,Trading Spell Master Technical Analysis Program,dh-16,dummy,author,Option | Straddle,100000,999,long desc,default.jpg,www.google.com,45035,45035,English,AuthorsImages/rachana_prof.jpg
